what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398686989607
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398686997374
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398687019353
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687026761
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687030197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398687042335
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398687044800
executed,command,org.testng.eclipse,6.8.6.20141201_2240,"org.testng.eclipse.shortcut.testngSuite.run",1398687047241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687051777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687060989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687064024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687066899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687072986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687078848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687082489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687113513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687117719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687146528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687150624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687162358
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687168757
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398687169775
executed,command,org.testng.eclipse,6.8.6.20141201_2240,"org.testng.eclipse.shortcut.testngSuite.run",1398687172608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687178394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687201722
error,log,,,"Core exception while retrieving the content description",1398687233532
error,log,,,"Core exception while retrieving the content description",1398687233534
error,log,,,"Core exception while retrieving the content description",1398687233547
error,log,,,"Core exception while retrieving the content description",1398687233549
error,log,,,"Core exception while retrieving the content description",1398687233689
error,log,,,"Core exception while retrieving the content description",1398687233690
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687233733
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687233753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687237583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687253048
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687255466
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687255467
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687257290
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687257290
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687258074
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687258074
closed,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398687258908
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398687259888
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398687259888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687262413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687317943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687322030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687495131
opened,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398687499679
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398687499712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398687509229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687510110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687522314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398687535718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687537036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687593002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687687565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687700291
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398687715215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687717920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687748048
opened,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398687753445
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398687753492
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398687766441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687770765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687776790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687786284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687822931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687832450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687946105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687961550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398687984038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688002305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688097546
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1398688097555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688099813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688156276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688159575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688384403
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398688386527
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398688388656
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398688388717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688398128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688433563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398688438138
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1398688438991
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1398688439006
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1398688439021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398688445584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688451224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688453823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688958904
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398688960950
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398688961187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398688961234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398688965900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688967597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398688999960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398689003433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398689006483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398689011334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398689020803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398689027053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398689250765
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398689252911
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398689255689
closed,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398689255689
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398689261108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398689278888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398689378473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398689394459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398690170002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398690190708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398690452380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398690454848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398751438326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398751439764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753294001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753297987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753387383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753411305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753422491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753452146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753765609
started,bundle,org.eclipse.emf.converter,2.5.0.v20120130-0943,"org.eclipse.emf.converter",1398753815478
started,bundle,org.eclipse.emf.importer,2.6.0.v20120130-0943,"org.eclipse.emf.importer",1398753815479
started,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20120130-0943,"org.eclipse.emf.importer.ecore",1398753815480
started,bundle,org.eclipse.emf.importer.rose,2.6.0.v20120130-0943,"org.eclipse.emf.importer.rose",1398753815481
started,bundle,org.eclipse.emf.importer.java,2.6.0.v20120130-0943,"org.eclipse.emf.importer.java",1398753815482
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1398753815525
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1398753815561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398753819318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398753821439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753838536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753852694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398753854119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398753856537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398753951379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754388499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754397082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754405189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754452916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754608983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754610489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754619148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754620697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754880752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754881999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754888717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754889298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754890578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398754891891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398755381153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398755383710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398755415745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398755419713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398755426801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398755447665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398755452606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398755468215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398755474073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398755477933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398755484536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398755485629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398755491372
