what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1398666709347
error,log,,,"Core exception while retrieving the content description",1398666709348
error,log,,,"Core exception while retrieving the content description",1398666709350
error,log,,,"Core exception while retrieving the content description",1398666709351
error,log,,,"Core exception while retrieving the content description",1398666709353
error,log,,,"Core exception while retrieving the content description",1398666709354
error,log,,,"Core exception while retrieving the content description",1398666709355
error,log,,,"Core exception while retrieving the content description",1398666709357
error,log,,,"Core exception while retrieving the content description",1398666709358
error,log,,,"Core exception while retrieving the content description",1398666709358
error,log,,,"Core exception while retrieving the content description",1398666709360
error,log,,,"Core exception while retrieving the content description",1398666709360
error,log,,,"Core exception while retrieving the content description",1398666709362
error,log,,,"Core exception while retrieving the content description",1398666709363
error,log,,,"Core exception while retrieving the content description",1398666709364
error,log,,,"Core exception while retrieving the content description",1398666709364
error,log,,,"Core exception while retrieving the content description",1398666709366
error,log,,,"Core exception while retrieving the content description",1398666709367
error,log,,,"Core exception while retrieving the content description",1398666709368
error,log,,,"Core exception while retrieving the content description",1398666709369
error,log,,,"Core exception while retrieving the content description",1398666709370
error,log,,,"Core exception while retrieving the content description",1398666709371
error,log,,,"Core exception while retrieving the content description",1398666714419
error,log,,,"Core exception while retrieving the content description",1398666714420
error,log,,,"Error",1398666714432
error,log,,,"Core exception while retrieving the content description",1398666714436
error,log,,,"Core exception while retrieving the content description",1398666714438
error,log,,,"Core exception while retrieving the content description",1398666715283
error,log,,,"Core exception while retrieving the content description",1398666715284
error,log,,,"Core exception while retrieving the content description",1398666715295
error,log,,,"Core exception while retrieving the content description",1398666715297
error,log,,,"Core exception while retrieving the content description",1398666715377
error,log,,,"Core exception while retrieving the content description",1398666715378
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1398666715410
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1398666715628
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1398666715923
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1398666715952
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398666715994
error,log,,,"Error",1398666716012
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398666716089
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1398666717516
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1398666717599
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1398666717606
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1398666717806
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398666718217
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398666718217
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398666719525
error,log,,,"Core exception while retrieving the content description",1398666719592
error,log,,,"Core exception while retrieving the content description",1398666719593
error,log,,,"Error",1398666719600
error,log,,,"Core exception while retrieving the content description",1398666719602
error,log,,,"Core exception while retrieving the content description",1398666719603
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1398666719605
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398666720295
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398666720363
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1398666722875
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398666722875
