what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398664911700
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1398664913839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398664915707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398664916529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398664917307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398665711887
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1398665711947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398665712155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398665783186
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398665786901
executed,command,org.testng.eclipse,6.8.6.20141201_2240,"org.testng.eclipse.shortcut.testngSuite.run",1398665791908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398665793830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398665824520
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1398665829783
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1398665829785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398665841335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398665843200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398665847168
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1398665853294
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1398665853514
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1398665853621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398665853844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398665858127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398665861912
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1398665862000
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1398665862006
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1398665862027
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1398665862096
